"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Holiday & Incidents","0.48%","86 hrs","$3,055","$559","$3,613"
"Incidents & Work Zone","45.04%","8,164 hrs","$288,753","$52,803","$341,557"
"Incidents & Weather","3.89%","705 hrs","$24,943","$4,561","$29,504"
"Incidents","28.13%","5,099 hrs","$180,348","$32,980","$213,328"
"Weather","2.13%","385 hrs","$13,631","$2,493","$16,124"
"Holiday","2.04%","369 hrs","$13,068","$2,390","$15,458"
"Holiday, Incidents & Work Zone","0.12%","22 hrs","$789","$144","$933"
"Weather & Work Zone","0.9%","164 hrs","$5,797","$1,060","$6,857"
"Incidents, Weather & Work Zone","0.81%","146 hrs","$5,165","$945","$6,110"
"Holiday & Work Zone","0.74%","134 hrs","$4,734","$866","$5,600"
"Unclassified","8.09%","1,467 hrs","$51,883","$9,488","$61,370"
"Work Zone","7.63%","1,382 hrs","$48,882","$8,939","$57,821"
"Totals","100.0%","18,124 hrs","$641,049","$117,227","$758,275"
