"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Weather & Work Zone","0.63%","822 hrs","$29,091","$5,320","$34,411"
"Unclassified","61.91%","80,227 hrs","$2,837,645","$518,911","$3,356,556"
"Recurrent & Weather","0.52%","677 hrs","$23,938","$4,378","$28,316"
"Holiday & Weather","0.5%","654 hrs","$23,124","$4,229","$27,353"
"Recurrent & Unclassified","5.03%","6,516 hrs","$230,453","$42,142","$272,595"
"Holiday","3.49%","4,519 hrs","$159,849","$29,231","$189,080"
"Incidents & Recurrent","0.3%","384 hrs","$13,576","$2,483","$16,059"
"Work Zone","2.99%","3,873 hrs","$136,976","$25,048","$162,024"
"Recurrent & Work Zone","0.19%","250 hrs","$8,828","$1,614","$10,443"
"Incidents","0.16%","204 hrs","$7,205","$1,317","$8,522"
"Recurrent","13.31%","17,254 hrs","$610,283","$111,600","$721,883"
"Weather","10.97%","14,211 hrs","$502,640","$91,916","$594,556"
"Totals","100.0%","129,590 hrs","$4,583,608","$838,190","$5,421,798"
